57,600798.SH,宁波海运,宁波海运股份有限公司,浙江,宁波市,1997-04-23,1997-04-18,董军,"120,653.42",864,"公司目前的主营业务为从事海上国内国际干散货运输业务,尤其是国内沿海电力煤炭的运输业务。",浙江省人民政府国有资产监督管理委员会,宁波市北岸财富中心1幢,浙江省宁波市北岸财富中心1幢,水上运输业
58,600771.SH,广誉远,广誉远中药股份有限公司,山西,晋中市,1996-11-05,1996-11-25,李晓军,"48,949.11",1811,"中药产品的生产、销售,包括传统中药、精品中药和养生酒三大板块。",山西省人民政府国有资产监督管理委员会,山西省晋中市太谷区广誉远路1号,山西省太原市小店区长风街129号山西梧桐大厦26层,医药制造业
59,600079.SH,人福医药,人福医药集团股份公司,湖北,武汉市,1997-06-06,1993-03-30,李杰,"163,236.11",17676,药品的研发、生产和销售,艾路明,武汉东湖高新区高新大道666号,湖北省武汉市东湖高新区高新大道666号,医药制造业
60,600660.SH,福耀玻璃,福耀玻璃工业集团股份有限公司,福建,福州市,1993-06-10,1992-06-21,曹德旺,"260,974.35",32721,"主要从事浮法玻璃及汽车玻璃生产和销售。主要提供汽车玻璃,包括镀膜玻璃等,用于客车、公共汽车以及轿车,以及浮法玻璃。该公司还提供玻璃安装和售后服务。该公司于国内市场及海外市场销售其产品。",曹德旺,福建省福清市融侨经济技术开发区福耀工业村,福建省福清市福耀工业村II区,非金属矿物制品业
61,600528.SH,中铁工业,中铁高新工业股份有限公司,北京,北京市,2001-05-28,1999-09-24,张威,"222,155.16",12224,"专用工程机械装备及相关服务业务、交通运输装备及相关服务业务,涵盖隧道施工装备及相关服务业务、工程施工机械及相关服务业务、道岔业务、钢结构制造与安装业务等板块",国务院国有资产监督管理委员会,北京市丰台区汽车博物馆西路10号院5号楼1至9层101内7层707,北京市丰台区汽车博物馆西路10号院5号楼,专用设备制造业
62,600085.SH,同仁堂,北京同仁堂股份有限公司,北京,北京市,1997-06-25,1997-06-18,邸淑兵,"137,147.03",16777,中成药的研发、生产与销售,北京市人民政府国有资产监督管理委员会,北京市大兴区中关村科技园区大兴生物医药产业基地天贵大街33号,北京市崇文门外大街42号,医药制造业
63,600802.SH,福建水泥,福建水泥股份有限公司,福建,福州市,1994-01-03,1993-11-27,王金星,"45,824.84",1579,水泥及熟料的制造及销售,福建省能源石化集团有限责任公司,福建省福州市杨桥路118号宏扬新城福州建福大厦,福建省福州市鼓楼区琴亭路29号福能方圆大厦,非金属矿物制品业
64,603556.SH,海兴电力,杭州海兴电力科技股份有限公司,浙江,杭州市,2016-11-10,2001-07-06,周良璋,"48,868.40",2641,智能电网配电和用电领域产品的研发、生产和销售,周良璋,杭州市莫干山路1418号(上城工业园区),杭州市莫干山路1418-35号(上城工业园区),仪器仪表制造业
65,600761.SH,安徽合力,安徽合力股份有限公司,安徽,合肥市,1996-10-09,1993-09-30,杨安国,"78,275.20",8734,"以工业车辆整机、零部件、智慧物流与工业互联网、后市场为核心,开展研发、制造、销售和现代服务业务。",安徽省人民政府国有资产监督管理委员会,合肥市方兴大道668号,合肥市方兴大道668号,通用设备制造业
66,600112.SH,ST天成,贵州长征天成控股股份有限公司,贵州,遵义市,1997-11-27,1997-11-13,高健,"50,920.48",317,电气设备制造、矿产资源开发及金融三大业务,无,贵州省遵义市汇川区武汉路临1号,贵州省遵义市汇川区武汉路临1号,电气机械和器材制造业
67,603986.SH,兆易创新,兆易创新科技集团股份有限公司,北京,北京市,2016-08-18,2005-04-06,何卫,"66,690.63",1781,存储器、微控制器和传感器的研发、技术支持和销售,朱一明,北京市海淀区丰豪东路9号院8号楼1至5层101,北京市海淀区丰豪东路9号院中关村集成电路设计园8号楼,计算机、通信和其他电子设备制造业
68,603909.SH,建发合诚,建发合诚工程咨询股份有限公司,福建,厦门市,2016-06-28,1995-10-11,黄和宾,"26,067.31",2805,"勘察设计,工程管理,试验检测,综合管养,工程新材料,建筑施工",厦门市人民政府国有资产监督管理委员会,厦门市湖里区枋钟路2368号1101-1104单元,福建省厦门市湖里区枋钟路2368号1101-1104单元,专业技术服务业
69,603990.SH,麦迪科技,苏州麦迪斯顿医疗科技股份有限公司,江苏,苏州市,2016-12-08,2009-08-14,翁康,"30,628.27",1960,"医疗信息化板块,生殖医学医疗服务板块,新能源光伏板块",绵阳市安州区国有资产监督管理办公室,苏州工业园区归家巷222号,江苏省苏州工业园区归家巷222号,软件和信息技术服务业
70,601186.SH,中国铁建,中国铁建股份有限公司,北京,北京市,2008-03-10,2007-11-05,戴和根,"1,357,954.15",267587,工程承包、规划设计咨询、投资运营、房地产开发、工业制造、物资物流、绿色环保、产业金融,国务院国有资产监督管理委员会,北京市海淀区复兴路40号东院,"北京市海淀区复兴路40号东院,香港九龙尖沙咀漆咸道南39号铁路大厦23楼",土木工程建筑业
71,603678.SH,火炬电子,福建火炬电子科技股份有限公司,福建,泉州市,2015-01-26,2007-12-20,蔡劲军,"45,833.92",2374,从事电子元器件、新材料及相关产品的研发、生产、销售、检测及服务业务,"蔡明通,蔡劲军",泉州市鲤城区江南高新技术电子信息园区紫华路4号(经营场所:泉州市鲤城区常泰街道新塘社区泰新街58号),福建省泉州市鲤城区江南高新技术电子信息园区紫华路4号,计算机、通信和其他电子设备制造业
72,600897.SH,厦门空港,元翔(厦门)国际航空港股份有限公司,福建,厦门市,1996-05-31,2003-09-06,朱昭,"41,693.40",3672,提供民用航空有关设施的服务,厦门市人民政府国有资产监督管理委员会,厦门高崎,福建省元翔(厦门)国际航空港股份有限公司办公楼(高崎南八路9号T4候机楼一楼东侧办公区),航空运输业
73,600202.SH,哈空调,哈尔滨空调股份有限公司,黑龙江,哈尔滨市,1999-06-03,1993-06-25,丁盛,"38,334.07",693,各种高、中、低压空冷器的设计、制造和销售。,哈尔滨市人民政府国有资产监督管理委员会,哈尔滨市南岗区高新技术产业开发区嵩山路26号楼,黑龙江省哈尔滨市高新技术开发区迎宾路集中区滇池街7号,通用设备制造业
74,603126.SH,中材节能,中材节能股份有限公司,天津,天津市,2014-07-31,1998-06-01,孟庆林,"61,050.00",1909,"公司是中国建材集团旗下专业从事节能环保产业的上市公司。报告期内,公司围绕节能环保工程、装备制造、建筑节能材料三个主业不断做强做优做大,其中节能环保工程方面,主要从事节能环保工程、投资运营、清洁能源工程、建筑节能材料工程业务;装备制造方面,主要从事节能环保装备、建筑节能材料装备、新材料装备研发制造业务;建筑节能材料方面,主要从事硅酸钙板研发、生产、销售业务",国务院国有资产监督管理委员会,北辰区京津公路与龙洲道交口西南侧北辰大厦3号楼5-9层,天津市北辰区高峰路与天宁道交口中材节能大厦,专业技术服务业
75,600031.SH,三一重工,三一重工股份有限公司,北京,北京市,2003-07-03,1994-11-22,向文波,"848,574.02",25930,工程机械产品及配件的开发、生产和销售。,梁稳根,北京市昌平区北清路8号6幢5楼,北京市昌平区北清路8号,专用设备制造业
76,600196.SH,复星医药,上海复星医药(集团)股份有限公司,上海,上海市,1998-08-07,1995-05-31,吴以芳,"267,239.87",40370,制药、医疗器械与医学诊断、医疗健康服务,郭广昌,上海市曹杨路510号9楼,上海市宜山路1289号A楼,医药制造业
77,603306.SH,华懋科技,华懋(厦门)新材料科技股份有限公司,福建,厦门市,2014-09-26,2002-05-16,蒋卫军,"32,609.41",3278,"目前是汽车被动安全领域的龙头企业,产品线覆盖汽车安全气囊布、安全气囊袋(DAB,SAB,PAB,KAB,CAB等)以及安全带等被动安全系统部件,也包括防弹布、夹网布等","林晖,袁晋清",福建省厦门市集美区后溪镇苏山路69号,福建省厦门市集美区后溪镇苏山路69号,汽车制造业
78,600717.SH,天津港,天津港股份有限公司,天津,天津市,1996-06-14,1982-09-29,刘庆顺,"289,400.10",5395,商品储存;中转联运、汽车运输;装卸搬运;集装箱搬运、拆装箱及相关业务;货运代理;劳务服务;商业及各类物资的批发、零售;经济信息咨询服务等。,天津市人民政府国有资产监督管理委员会,天津自贸区(天津港保税区)通达广场1号A区,天津市滨海新区津港路99号,水上运输业
79,600243.SH,青海华鼎,青海华鼎实业股份有限公司,青海,西宁市,2000-11-20,1998-08-18,王封,"43,885.00",692,主要从事数控机床产品、电梯配件等的研发、生产及销售,王封,青海省西宁市城北区经二路北段24号,青海省西宁市七一路318号,通用设备制造业
80,601618.SH,中国中冶,中国冶金科工股份有限公司,北京,北京市,2009-09-21,2008-12-01,张孟星,"2,072,361.92",99300,工程承包、资源开发、装备制造、房地产开发及其他业务。,国务院国有资产监督管理委员会,北京市朝阳区曙光西里28号,北京市朝阳区曙光西里28号中冶大厦,土木工程建筑业
81,601231.SH,环旭电子,环旭电子股份有限公司,上海,上海市,2012-02-20,2003-01-02,陈昌益,"221,031.57",23009,"主要从事提供电子产品设计制造服务(DMS)2,设计、生产、加工新型电子元器件、计算机高性能主机板、无线网络通信元器件,移动通信产品及模块、零配件,维修以上产品,销售自产产品,并提供相关的技术咨询服务;电子产品、通讯产品及相关零配件的批发和进出口,并提供相关配套服务。","张洪本,张虔生",上海市张江高科技园区集成电路产业区张东路1558号,上海市浦东新区盛夏路169号B栋5楼,计算机、通信和其他电子设备制造业
